Date,MJD,UT1-UTC(±1 ms),"UTC(USNO, MC) - UTC(NIST) (±5 ns)"
2024-03-05,60374,-3.0 ms,+0.7 ns
2024-03-10,60379,-4.2 ms,+0.8 ns
2024-03-15,60384,-9.1 ms,+0.4 ns
2024-03-20,60389,-9.2 ms,-0.9 ns
2024-03-25,60394,-11.6 ms,-1.1 ns
2024-03-30,60399,-14.5 ms,+0.9 ns
