Date,MJD,UT1-UTC(±1 ms),"UTC(USNO, MC) - UTC(NIST) (±5 ns)"
2024-06-03,60464,-21.6 ms,+0.6 ns
2024-06-08,60469,-20.3 ms,+1.5 ns
2024-06-13,60474,-17.5 ms,+1.6 ns
2024-06-18,60479,-15.0 ms,+1.1 ns
2024-06-23,60484,-9.0 ms,+1.0 ns
2024-06-28,60489,-4.9 ms,+1.9 ns
