Date,MJD,UT1-UTC(±1 ms),"UTC(USNO, MC) - UTC(NIST) (±5 ns)"
2024-07-03,60494,-1.9 ms,+1.2 ns
2024-07-08,60499,+5.7 ms,+0.7 ns
2024-07-13,60504,+10.6 ms,+0.1 ns
2024-07-18,60509,+15.0 ms,+0.1 ns
2024-07-23,60514,+20.5 ms,+0.5 ns
2024-07-28,60519,+21.5 ms,+0.7 ns
