Date,MJD,UT1-UTC(±1 ms),"UTC(USNO, MC) - UTC(NIST) (±5 ns)"
2024-04-04,60404,-13.5 ms,+3.4 ns
2024-04-09,60409,-16.8 ms,+3.2 ns
2024-04-14,60414,-17.6 ms,+2.3 ns
2024-04-19,60419,-16.8 ms,-1.0 ns
2024-04-24,60424,-18.9 ms,-0.3 ns
2024-04-29,60429,-18.4 ms,-0.6 ns
