Date,MJD,UT1-UTC(±1 ms),"UTC(USNO, MC) - UTC(NIST) (±5 ns)"
2024-05-04,60434,-18.7 ms,+0.2 ns
2024-05-09,60439,-21.7 ms,+0.7 ns
2024-05-14,60444,-20.0 ms,+1.0 ns
2024-05-19,60449,-20.6 ms,+1.3 ns
2024-05-24,60454,-21.1 ms,+0.7 ns
2024-05-29,60459,-19.3 ms,+0.7 ns
